"filename", "language", "TypeScript", "TypeScript React", "CSS", "JSON with Comments", "Markdown", "JSON", "JavaScript", "env", "HTML", "comment", "blank", "total"
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/loading/AppLoading.module.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/loading/AppLoading.tsx", "TypeScript React", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/product/ProductPage.css", "CSS", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/product/ProductPage.tsx", "TypeScript React", 0, 173, 0, 0, 0, 0, 0, 0, 0, 1, 15, 189
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/profile/AvatarUpload.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/profile/AvatarUpload.module.css", "CSS", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/profile/AvatarUpload.tsx", "TypeScript React", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 3, 127
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/profile/ChangePassword.tsx", "TypeScript React", 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 3, 137
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/profile/ProfileBlock.css", "CSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 2, 15
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/profile/ProfileBlock.tsx", "TypeScript React", 0, 92, 0, 0, 0, 0, 0, 0, 0, 1, 3, 96
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/profile/ProfilePage.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/profile/ProfilePage.tsx", "TypeScript React", 0, 117, 0, 0, 0, 0, 0, 0, 0, 9, 3, 129
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/signIn/SignInPage.module.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 1, 14
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/signIn/SignInPage.tsx", "TypeScript React", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 3, 147
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/signUp/EmailEnterForm.module.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 1, 14
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/signUp/EmailEnterForm.tsx", "TypeScript React", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 3, 110
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/signUp/PasswordSetUpForm.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/signUp/PasswordSetUpForm.tsx", "TypeScript React", 0, 117, 0, 0, 0, 0, 0, 0, 0, 1, 3, 121
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/signUp/SignUpPage.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/signUp/SignUpPage.tsx", "TypeScript React", 0, 62, 0, 0, 0, 0, 0, 0, 0, 1, 7, 70
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/signUp/VerifyEmailForm.module.css", "CSS", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/signUp/VerifyEmailForm.tsx", "TypeScript React", 0, 210, 0, 0, 0, 0, 0, 0, 0, 8, 4, 222
"/Users/yukimoto/projects/touchwhale-erp/client/src/react-app-env.d.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 15
"/Users/yukimoto/projects/touchwhale-erp/client/src/redux/auth/authSlice.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 52
"/Users/yukimoto/projects/touchwhale-erp/client/src/redux/hooks.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 9
"/Users/yukimoto/projects/touchwhale-erp/client/src/redux/mainLink.slice.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"/Users/yukimoto/projects/touchwhale-erp/client/src/redux/store.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 32
"/Users/yukimoto/projects/touchwhale-erp/client/src/routes/AppRoutes.tsx", "TypeScript React", 0, 218, 0, 0, 0, 0, 0, 0, 0, 11, 7, 236
